Name,Label,Short_name1,Short_name2,Short_name3,Concept
DP02_0094PE,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,Foreign-born population!!Naturalized U.S. citizen,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0095PE,Percent Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Foreign-born population!!Not a U.S. citizen,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0096PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States,YEAR OF ENTRY!!Population born outside the United States,Population born outside the United States,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0097PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native,YEAR OF ENTRY!!Population born outside the United States!!Native,Population born outside the United States!!Native,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0098PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later,YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later,Population born outside the United States!!Native!!Entered 2010 or later,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0099PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010,YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010,Population born outside the United States!!Native!!Entered before 2010,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0100PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born,YEAR OF ENTRY!!Population born outside the United States!!Foreign born,Population born outside the United States!!Foreign born,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0101PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later,YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered 2010 or later,Population born outside the United States!!Foreign born!!Entered 2010 or later,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0102PE,Percent Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010,YEAR OF ENTRY!!Population born outside the United States!!Foreign born!!Entered before 2010,Population born outside the United States!!Foreign born!!Entered before 2010,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0103PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea","Foreign-born population, excluding population born at sea",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0104PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Europe","Foreign-born population, excluding population born at sea!!Europe",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0105PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Asia","Foreign-born population, excluding population born at sea!!Asia",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0106PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa","Foreign-born population, excluding population born at sea!!Africa",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0107PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Oceania","Foreign-born population, excluding population born at sea!!Oceania",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0108PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Latin America","Foreign-born population, excluding population born at sea!!Latin America",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0109PE,"Percent Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America","Foreign-born population, excluding population born at sea!!Northern America",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0110PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over,LANGUAGE SPOKEN AT HOME!!Population 5 years and over,Population 5 years and over,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0111PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Population 5 years and over!!English only,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0112PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English,Population 5 years and over!!Language other than English,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0113PE,"Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Language other than English!!Speak English less than ""very well""","Population 5 years and over!!Language other than English!!Speak English less than ""very well""",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0114PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish,Population 5 years and over!!Spanish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0115PE,"Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Spanish!!Speak English less than ""very well""","Population 5 years and over!!Spanish!!Speak English less than ""very well""",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0116PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages,Population 5 years and over!!Other Indo-European languages,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0117PE,"Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""","Population 5 years and over!!Other Indo-European languages!!Speak English less than ""very well""",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0118PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages,Population 5 years and over!!Asian and Pacific Islander languages,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0119PE,"Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""","Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well""",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0120PE,Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages,LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages,Population 5 years and over!!Other languages,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0121PE,"Percent Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well""","Population 5 years and over!!Other languages!!Speak English less than ""very well""",,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0122PE,Percent Estimate!!ANCESTRY!!Total population,ANCESTRY!!Total population,Total population,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0123PE,Percent Estimate!!ANCESTRY!!Total population!!American,ANCESTRY!!Total population!!American,Total population!!American,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0124PE,Percent Estimate!!ANCESTRY!!Total population!!Arab,ANCESTRY!!Total population!!Arab,Total population!!Arab,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0125PE,Percent Estimate!!ANCESTRY!!Total population!!Czech,ANCESTRY!!Total population!!Czech,Total population!!Czech,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0126PE,Percent Estimate!!ANCESTRY!!Total population!!Danish,ANCESTRY!!Total population!!Danish,Total population!!Danish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0127PE,Percent Estimate!!ANCESTRY!!Total population!!Dutch,ANCESTRY!!Total population!!Dutch,Total population!!Dutch,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0128PE,Percent Estimate!!ANCESTRY!!Total population!!English,ANCESTRY!!Total population!!English,Total population!!English,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0129PE,Percent Estimate!!ANCESTRY!!Total population!!French (except Basque),ANCESTRY!!Total population!!French (except Basque),Total population!!French (except Basque),,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0130PE,Percent Estimate!!ANCESTRY!!Total population!!French Canadian,ANCESTRY!!Total population!!French Canadian,Total population!!French Canadian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0131PE,Percent Estimate!!ANCESTRY!!Total population!!German,ANCESTRY!!Total population!!German,Total population!!German,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0132PE,Percent Estimate!!ANCESTRY!!Total population!!Greek,ANCESTRY!!Total population!!Greek,Total population!!Greek,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0133PE,Percent Estimate!!ANCESTRY!!Total population!!Hungarian,ANCESTRY!!Total population!!Hungarian,Total population!!Hungarian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0134PE,Percent Estimate!!ANCESTRY!!Total population!!Irish,ANCESTRY!!Total population!!Irish,Total population!!Irish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0135PE,Percent Estimate!!ANCESTRY!!Total population!!Italian,ANCESTRY!!Total population!!Italian,Total population!!Italian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0136PE,Percent Estimate!!ANCESTRY!!Total population!!Lithuanian,ANCESTRY!!Total population!!Lithuanian,Total population!!Lithuanian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0137PE,Percent Estimate!!ANCESTRY!!Total population!!Norwegian,ANCESTRY!!Total population!!Norwegian,Total population!!Norwegian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0138PE,Percent Estimate!!ANCESTRY!!Total population!!Polish,ANCESTRY!!Total population!!Polish,Total population!!Polish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0139PE,Percent Estimate!!ANCESTRY!!Total population!!Portuguese,ANCESTRY!!Total population!!Portuguese,Total population!!Portuguese,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0140PE,Percent Estimate!!ANCESTRY!!Total population!!Russian,ANCESTRY!!Total population!!Russian,Total population!!Russian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0141PE,Percent Estimate!!ANCESTRY!!Total population!!Scotch-Irish,ANCESTRY!!Total population!!Scotch-Irish,Total population!!Scotch-Irish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0142PE,Percent Estimate!!ANCESTRY!!Total population!!Scottish,ANCESTRY!!Total population!!Scottish,Total population!!Scottish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0143PE,Percent Estimate!!ANCESTRY!!Total population!!Slovak,ANCESTRY!!Total population!!Slovak,Total population!!Slovak,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0144PE,Percent Estimate!!ANCESTRY!!Total population!!Subsaharan African,ANCESTRY!!Total population!!Subsaharan African,Total population!!Subsaharan African,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0145PE,Percent Estimate!!ANCESTRY!!Total population!!Swedish,ANCESTRY!!Total population!!Swedish,Total population!!Swedish,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0146PE,Percent Estimate!!ANCESTRY!!Total population!!Swiss,ANCESTRY!!Total population!!Swiss,Total population!!Swiss,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0147PE,Percent Estimate!!ANCESTRY!!Total population!!Ukrainian,ANCESTRY!!Total population!!Ukrainian,Total population!!Ukrainian,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0148PE,Percent Estimate!!ANCESTRY!!Total population!!Welsh,ANCESTRY!!Total population!!Welsh,Total population!!Welsh,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0149PE,Percent Estimate!!ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups),ANCESTRY!!Total population!!West Indian (excluding Hispanic origin groups),Total population!!West Indian (excluding Hispanic origin groups),,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0150PE,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households,COMPUTERS AND INTERNET USE!!Total households,Total households,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0151PE,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a computer,COMPUTERS AND INTERNET USE!!Total households!!With a computer,Total households!!With a computer,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP02_0152PE,Percent Estimate!!COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription,Total households!!With a broadband Internet subscription,,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES
DP03_0001PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,EMPLOYMENT STATUS!!Population 16 years and over,Population 16 years and over,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0002PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Population 16 years and over!!In labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0003PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,Population 16 years and over!!In labor force!!Civilian labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0004PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,Population 16 years and over!!In labor force!!Civilian labor force!!Employed,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0005PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0006PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Population 16 years and over!!In labor force!!Armed Forces,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0007PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Population 16 years and over!!Not in labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0008PE,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force,EMPLOYMENT STATUS!!Civilian labor force,Civilian labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0009PE,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Civilian labor force!!Unemployment Rate,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0010PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,EMPLOYMENT STATUS!!Females 16 years and over,Females 16 years and over,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0011PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,Females 16 years and over!!In labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0012PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,Females 16 years and over!!In labor force!!Civilian labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0013PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,Females 16 years and over!!In labor force!!Civilian labor force!!Employed,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0014PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,EMPLOYMENT STATUS!!Own children of the householder under 6 years,Own children of the householder under 6 years,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0015PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,Own children of the householder under 6 years!!All parents in family in labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0016PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,Own children of the householder 6 to 17 years,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0017PE,Percent Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,Own children of the householder 6 to 17 years!!All parents in family in labor force,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0018PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over,COMMUTING TO WORK!!Workers 16 years and over,Workers 16 years and over,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0019PE,"Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone","Workers 16 years and over!!Car, truck, or van -- drove alone",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0020PE,"Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled","Workers 16 years and over!!Car, truck, or van -- carpooled",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0021PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Workers 16 years and over!!Public transportation (excluding taxicab),,SELECTED ECONOMIC CHARACTERISTICS
DP03_0022PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,COMMUTING TO WORK!!Workers 16 years and over!!Walked,Workers 16 years and over!!Walked,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0023PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,COMMUTING TO WORK!!Workers 16 years and over!!Other means,Workers 16 years and over!!Other means,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0024PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,COMMUTING TO WORK!!Workers 16 years and over!!Worked at home,Workers 16 years and over!!Worked at home,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0025PE,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),Workers 16 years and over!!Mean travel time to work (minutes),,SELECTED ECONOMIC CHARACTERISTICS
DP03_0026PE,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over,OCCUPATION!!Civilian employed population 16 years and over,Civilian employed population 16 years and over,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0027PE,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Civilian employed population 16 years and over!!Management, business, science, and arts occupations",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0028PE,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Civilian employed population 16 years and over!!Service occupations,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0029PE,Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,Civilian employed population 16 years and over!!Sales and office occupations,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0030PE,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0031PE,"Percent Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations","Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0032PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over,INDUSTRY!!Civilian employed population 16 years and over,Civilian employed population 16 years and over,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0033PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining","INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining","Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0034PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,INDUSTRY!!Civilian employed population 16 years and over!!Construction,Civilian employed population 16 years and over!!Construction,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0035PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,Civilian employed population 16 years and over!!Manufacturing,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0036PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,Civilian employed population 16 years and over!!Wholesale trade,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0037PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,Civilian employed population 16 years and over!!Retail trade,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0038PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities","INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities","Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0039PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,INDUSTRY!!Civilian employed population 16 years and over!!Information,Civilian employed population 16 years and over!!Information,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0040PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing","INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing","Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0041PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services","INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services","Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0042PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance","INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance","Civilian employed population 16 years and over!!Educational services, and health care and social assistance",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0043PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services","Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0044PE,"Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration","INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration","Civilian employed population 16 years and over!!Other services, except public administration",,SELECTED ECONOMIC CHARACTERISTICS
DP03_0045PE,Percent Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,INDUSTRY!!Civilian employed population 16 years and over!!Public administration,Civilian employed population 16 years and over!!Public administration,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0046PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,CLASS OF WORKER!!Civilian employed population 16 years and over,Civilian employed population 16 years and over,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0047PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,Civilian employed population 16 years and over!!Private wage and salary workers,,SELECTED ECONOMIC CHARACTERISTICS
DP03_0048PE,Percent Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,Civilian employed population 16 years and over!!Government workers,,SELECTED ECONOMIC CHARACTERISTICS
